Entity,Code,Year,Solar Capacity
Africa,,1996,0.001012425219
Africa,,1997,0.003037275656
Africa,,1998,0.005062126093
Africa,,1999,0.008099401749
Africa,,2000,0.010927
Africa,,2001,0.013029
Africa,,2002,0.015243
Africa,,2003,0.018019
Africa,,2004,0.021996
Africa,,2005,0.025965
Africa,,2006,0.034268
Africa,,2007,0.046656
Africa,,2008,0.063367
Africa,,2009,0.106838
Africa,,2010,0.193825
Africa,,2011,0.266352
Africa,,2012,0.323352
Africa,,2013,0.659787
Africa,,2014,1.564868
Africa,,2015,1.931458
Africa,,2016,2.974232
Africa,,2017,4.691427
Africa,,2018,7.096161
Africa,,2019,8.276541
Africa,,2020,9.505
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0.0011
Algeria,DZA,2015,0.0491
Algeria,DZA,2016,0.2191
Algeria,DZA,2017,0.4
Algeria,DZA,2018,0.423
Algeria,DZA,2019,0.423
Algeria,DZA,2020,0.423
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0
Argentina,ARG,1999,0
Argentina,ARG,2000,0
Argentina,ARG,2001,0
Argentina,ARG,2002,0
Argentina,ARG,2003,0
Argentina,ARG,2004,0
Argentina,ARG,2005,0
Argentina,ARG,2006,0
Argentina,ARG,2007,0
Argentina,ARG,2008,0
Argentina,ARG,2009,0
Argentina,ARG,2010,0
Argentina,ARG,2011,0.001
Argentina,ARG,2012,0.006
Argentina,ARG,2013,0.008
Argentina,ARG,2014,0.008
Argentina,ARG,2015,0.009
Argentina,ARG,2016,0.009
Argentina,ARG,2017,0.009
Argentina,ARG,2018,0.191
Argentina,ARG,2019,0.442
Argentina,ARG,2020,0.764
Asia Pacific,,1996,0.077
Asia Pacific,,1997,0.1125
Asia Pacific,,1998,0.162
Asia Pacific,,1999,0.246
Asia Pacific,,2000,0.39601
Asia Pacific,,2001,0.53516
Asia Pacific,,2002,0.745891
Asia Pacific,,2003,0.989885
Asia Pacific,,2004,1.285492
Asia Pacific,,2005,1.659016
Asia Pacific,,2006,2.038083
Asia Pacific,,2007,2.359999
Asia Pacific,,2008,2.990907
Asia Pacific,,2009,4.278042
Asia Pacific,,2010,7.310291
Asia Pacific,,2011,12.112334
Asia Pacific,,2012,19.837848
Asia Pacific,,2013,39.110974
Asia Pacific,,2014,61.577005
Asia Pacific,,2015,90.590444
Asia Pacific,,2016,143.158157
Asia Pacific,,2017,213.586336
Asia Pacific,,2018,282.514423
Asia Pacific,,2019,340.999853
Asia Pacific,,2020,422.583
Australia,AUS,1996,0.016
Australia,AUS,1997,0.019
Australia,AUS,1998,0.023
Australia,AUS,1999,0.025
Australia,AUS,2000,0.026148
Australia,AUS,2001,0.030635
Australia,AUS,2002,0.035822
Australia,AUS,2003,0.041066
Australia,AUS,2004,0.048412
Australia,AUS,2005,0.054911
Australia,AUS,2006,0.06427
Australia,AUS,2007,0.076708
Australia,AUS,2008,0.089376
Australia,AUS,2009,0.337405
Australia,AUS,2010,1.099341
Australia,AUS,2011,2.491227
Australia,AUS,2012,3.799
Australia,AUS,2013,4.605787
Australia,AUS,2014,5.352693
Australia,AUS,2015,6.07399
Australia,AUS,2016,6.854201
Australia,AUS,2017,7.570817
Australia,AUS,2018,8.875764
Australia,AUS,2019,13.564899
Australia,AUS,2020,17.625
Austria,AUT,1996,0.0017
Austria,AUT,1997,0.0022
Austria,AUT,1998,0.0029
Austria,AUT,1999,0.0037
Austria,AUT,2000,0.005
Austria,AUT,2001,0.007
Austria,AUT,2002,0.009
Austria,AUT,2003,0.023
Austria,AUT,2004,0.027
Austria,AUT,2005,0.021
Austria,AUT,2006,0.0224
Austria,AUT,2007,0.0242
Austria,AUT,2008,0.0301
Austria,AUT,2009,0.0489
Austria,AUT,2010,0.0888
Austria,AUT,2011,0.1741
Austria,AUT,2012,0.337
Austria,AUT,2013,0.626
Austria,AUT,2014,0.785246
Austria,AUT,2015,0.937098
Austria,AUT,2016,1.096016
Austria,AUT,2017,1.268971
Austria,AUT,2018,1.455
Austria,AUT,2019,1.702
Austria,AUT,2020,2.22
Belgium,BEL,1996,0
Belgium,BEL,1997,0
Belgium,BEL,1998,0
Belgium,BEL,1999,0
Belgium,BEL,2000,0
Belgium,BEL,2001,0
Belgium,BEL,2002,0.001
Belgium,BEL,2003,0.001
Belgium,BEL,2004,0.001
Belgium,BEL,2005,0.002
Belgium,BEL,2006,0.002
Belgium,BEL,2007,0.02
Belgium,BEL,2008,0.062
Belgium,BEL,2009,0.386
Belgium,BEL,2010,1.0069
Belgium,BEL,2011,1.9791
Belgium,BEL,2012,2.6465
Belgium,BEL,2013,2.9024
Belgium,BEL,2014,3.0152
Belgium,BEL,2015,3.1317
Belgium,BEL,2016,3.327
Belgium,BEL,2017,3.621
Belgium,BEL,2018,4
Belgium,BEL,2019,4.637
Belgium,BEL,2020,5.646
Brazil,BRA,1996,0
Brazil,BRA,1997,0
Brazil,BRA,1998,0
Brazil,BRA,1999,0
Brazil,BRA,2000,0
Brazil,BRA,2001,0
Brazil,BRA,2002,0
Brazil,BRA,2003,0
Brazil,BRA,2004,0
Brazil,BRA,2005,0
Brazil,BRA,2006,0
Brazil,BRA,2007,0
Brazil,BRA,2008,0
Brazil,BRA,2009,0
Brazil,BRA,2010,0.001
Brazil,BRA,2011,0.002
Brazil,BRA,2012,0.003
Brazil,BRA,2013,0.008
Brazil,BRA,2014,0.02
Brazil,BRA,2015,0.041
Brazil,BRA,2016,0.148
Brazil,BRA,2017,1.296
Brazil,BRA,2018,2.47
Brazil,BRA,2019,4.615
Brazil,BRA,2020,7.881
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0
Bulgaria,BGR,2005,0
Bulgaria,BGR,2006,0
Bulgaria,BGR,2007,0
Bulgaria,BGR,2008,0
Bulgaria,BGR,2009,0.002
Bulgaria,BGR,2010,0.025
Bulgaria,BGR,2011,0.154
Bulgaria,BGR,2012,1.013
Bulgaria,BGR,2013,1.02
Bulgaria,BGR,2014,1.026
Bulgaria,BGR,2015,1.029
Bulgaria,BGR,2016,1.028
Bulgaria,BGR,2017,1.03557
Bulgaria,BGR,2018,1.032679
Bulgaria,BGR,2019,1.048
Bulgaria,BGR,2020,1.073
CIS,,1996,0
CIS,,1997,0
CIS,,1998,0
CIS,,1999,0
CIS,,2000,0
CIS,,2001,0
CIS,,2002,0
CIS,,2003,0
CIS,,2004,0
CIS,,2005,0.000063
CIS,,2006,0.000142
CIS,,2007,0.000739
CIS,,2008,0.001124
CIS,,2009,0.001322
CIS,,2010,0.002589
CIS,,2011,0.004
CIS,,2012,0.0061
CIS,,2013,0.0183
CIS,,2014,0.082
CIS,,2015,0.20632
CIS,,2016,0.23632
CIS,,2017,0.405
CIS,,2018,1.04632
CIS,,2019,2.26882
CIS,,2020,3.247
Canada,CAN,1996,0.003
Canada,CAN,1997,0.003
Canada,CAN,1998,0.005
Canada,CAN,1999,0.006
Canada,CAN,2000,0.007
Canada,CAN,2001,0.009
Canada,CAN,2002,0.01
Canada,CAN,2003,0.012
Canada,CAN,2004,0.014
Canada,CAN,2005,0.017
Canada,CAN,2006,0.021
Canada,CAN,2007,0.026
Canada,CAN,2008,0.033
Canada,CAN,2009,0.095
Canada,CAN,2010,0.221
Canada,CAN,2011,0.497
Canada,CAN,2012,0.766
Canada,CAN,2013,1.21
Canada,CAN,2014,1.843
Canada,CAN,2015,2.517
Canada,CAN,2016,2.661
Canada,CAN,2017,2.913
Canada,CAN,2018,3.1
Canada,CAN,2019,3.31
Canada,CAN,2020,3.325
Chile,CHL,1996,0
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,0
Chile,CHL,2002,0
Chile,CHL,2003,0
Chile,CHL,2004,0
Chile,CHL,2005,0
Chile,CHL,2006,0
Chile,CHL,2007,0
Chile,CHL,2008,0
Chile,CHL,2009,0
Chile,CHL,2010,0
Chile,CHL,2011,0
Chile,CHL,2012,0.002
Chile,CHL,2013,0.015
Chile,CHL,2014,0.221
Chile,CHL,2015,0.576
Chile,CHL,2016,1.125
Chile,CHL,2017,1.809
Chile,CHL,2018,2.137
Chile,CHL,2019,2.555
Chile,CHL,2020,3.106
China,CHN,1996,0.001
China,CHN,1997,0.0025
China,CHN,1998,0.005
China,CHN,1999,0.01
China,CHN,2000,0.033515
China,CHN,2001,0.03802
China,CHN,2002,0.05653
China,CHN,2003,0.0666
China,CHN,2004,0.0766
China,CHN,2005,0.1412
China,CHN,2006,0.1602
China,CHN,2007,0.199
China,CHN,2008,0.253
China,CHN,2009,0.4148
China,CHN,2010,1.0218
China,CHN,2011,3.1078
China,CHN,2012,6.7188
China,CHN,2013,17.7478
China,CHN,2014,28.3878
China,CHN,2015,43.5378
China,CHN,2016,77.7878
China,CHN,2017,130.80129
China,CHN,2018,175.015864
China,CHN,2019,204.5748
China,CHN,2020,253.834
Czechia,CZE,1996,0
Czechia,CZE,1997,0
Czechia,CZE,1998,0
Czechia,CZE,1999,0
Czechia,CZE,2000,0.0001
Czechia,CZE,2001,0.0001
Czechia,CZE,2002,0.0002
Czechia,CZE,2003,0.0003
Czechia,CZE,2004,0.0004
Czechia,CZE,2005,0.001
Czechia,CZE,2006,0.001
Czechia,CZE,2007,0.004
Czechia,CZE,2008,0.04
Czechia,CZE,2009,0.465
Czechia,CZE,2010,1.727
Czechia,CZE,2011,1.913
Czechia,CZE,2012,2.022
Czechia,CZE,2013,2.064
Czechia,CZE,2014,2.0674
Czechia,CZE,2015,2.0749
Czechia,CZE,2016,2.0679
Czechia,CZE,2017,2.0695
Czechia,CZE,2018,2.075072
Czechia,CZE,2019,2.089
Czechia,CZE,2020,2.073
Denmark,DNK,1996,0
Denmark,DNK,1997,0
Denmark,DNK,1998,0
Denmark,DNK,1999,0
Denmark,DNK,2000,0.001
